Date,SalePrice,SqFtLot,SqFtTotLiving,Bathrooms,Bedrooms,YrBuilt,ZipCode
1/3/06,436000,6923,2850,3,4,1947,98199
1/26/06,595000,7000,2970,2.25,3,1967,98199
2/7/06,618000,7680,2010,1.75,5,1950,98199
2/9/06,432500,7000,1670,1.5,4,1963,98199
2/17/06,725000,6000,4220,4.5,8,1957,98199
3/1/06,998000,5854,3680,3,4,1967,98199
3/7/06,782500,7000,3020,2.5,3,1984,98199
3/20/06,370000,5801,3270,3.5,4,2010,98199
3/21/06,417500,6450,2480,2.25,4,1929,98199
3/22/06,820000,6380,2870,2.75,5,1930,98199
3/27/06,530000,6000,1520,1.75,3,1954,98199
3/27/06,754950,6954,2060,1.75,4,1945,98199
3/30/06,468000,6000,1680,1.5,4,1947,98199
3/30/06,630000,2500,1860,2.5,4,2006,98199
3/30/06,714500,4350,2020,2.5,4,1943,98199
4/3/06,480000,4000,1640,1.75,3,1954,98199
4/5/06,565000,4100,2930,3.5,5,1927,98199
4/6/06,484995,5630,1300,1.75,2,1941,98199
4/7/06,440000,4500,1360,1.75,3,1951,98199
4/9/06,1305000,5750,3340,3,4,1986,98199
4/13/06,773500,6000,2870,2,4,1928,98199
4/20/06,712500,10875,3140,2,4,1939,98199
4/21/06,496150,4800,1810,1.75,3,1955,98199
4/25/06,470000,4592,3120,3.25,4,1939,98199
4/26/06,1345000,7435,3350,3.25,3,1989,98199
4/27/06,596000,6000,2070,3,3,1938,98199
5/1/06,635000,5000,2070,2.5,4,1926,98199
5/3/06,900000,4000,2640,2.5,4,2006,98199
5/8/06,770000,4080,1920,2,3,1937,98199
5/10/06,771000,6000,3460,2.5,3,1961,98199
5/14/06,830000,7296,3080,2.5,3,2000,98199
5/16/06,606000,4600,1940,2,3,1939,98199
5/19/06,850000,4477,3200,3.25,4,2006,98199
5/22/06,640000,6713,2300,1.75,2,1953,98199
5/23/06,799000,3125,2520,2.75,4,1951,98199
5/23/06,659000,7628,2470,2.75,6,1949,98199
5/26/06,1550000,8970,5300,4.5,5,1948,98199
5/26/06,435000,4027,1100,1,3,1955,98199
5/30/06,1050000,5350,2230,2.5,4,1952,98199
5/30/06,1000000,5350,2750,2.75,3,1936,98199
6/2/06,979000,4106,3360,2.5,4,1941,98199
6/7/06,585000,4442,2630,2.75,5,1949,98199
6/19/06,676000,4400,2740,2,3,1912,98199
6/21/06,1650000,5800,4270,3.5,4,1937,98199
6/22/06,525000,7000,2000,2,3,1918,98199
6/23/06,850000,5800,3540,2.75,4,1941,98199
6/27/06,610000,5800,2020,1.75,3,1926,98199
7/10/06,1600000,6006,3410,3.25,3,1946,98199
7/10/06,1510000,6388,4430,2.5,4,1937,98199
7/11/06,1250000,5000,3060,3,4,1932,98199